County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
Tulare,GEORGE,2012-06-01,2012-06-15,1707,0,0,15,0,0
Los Angeles,5 MILE,2012-06-08,2012-06-09,525,0,0,2,0,0
Fresno,LASSEN,2012-06-12,2012-06-13,418,0,0,2,0,0
Mariposa,GAINES,2012-06-12,2012-06-14,1700,0,0,3,0,0
Ventura,OZENA,2012-06-16,2012-06-17,361,0,0,2,0,0
Riverside,HIGHLAND,2012-06-16,2012-06-18,2171,0,0,3,0,0
Mariposa,CASCADE,2012-06-18,2012-11-26,1705,0,0,162,0,0
Riverside,VIEW,2012-06-17,2012-06-18,375,0,0,2,0,0
San Diego,OLD 2,2012-06-17,2012-06-20,995,0,0,4,2,0
Kern,GULCH,2012-06-19,2012-06-21,385,0,0,3,1,0
Ventura,HILL,2012-06-23,2012-06-27,689,0,0,5,0,0
Shasta,DALE,2012-07-05,2012-07-07,1083,0,0,3,2,5
Inyo,FISH,2012-07-07,2012-07-09,1103,0,0,3,0,0
Colusa,MILL,2012-07-07,2012-07-18,29502,0,0,12,5,0
Colusa,SITES,2012-07-08,2012-07-09,365,0,0,2,0,0
Colusa,GRAPEVINE,2012-07-08,2012-07-12,1870,0,0,5,0,0
