County,Tot_Damage,Year,county_up
Kings,0.0,2020,KINGS
Lake,82183550.0,2020,LAKE
Lassen,1503732.0,2020,LASSEN
Madera,34923990.0,2020,MADERA
Mariposa,670500.0,2020,MARIPOSA
Mendocino,246704.0,2020,MENDOCINO
Merced,11765.0,2020,MERCED
Modoc,100.0,2020,MODOC
Mono,0.0,2020,MONO
Monterey,70490.0,2020,MONTEREY
Napa,1129079102.0,2020,NAPA
Nevada,152362.0,2020,NEVADA
Placer,311400.0,2020,PLACER
Plumas,30002000.0,2020,PLUMAS
Riverside,8066503.0,2020,RIVERSIDE
Sacramento,1533500.0,2020,SACRAMENTO
San Benito,309305.0,2020,SAN BENITO
San Diego,1049225.0,2020,SAN DIEGO
San Francisco,0.0,2020,SAN FRANCISCO
San Joaquin,70131020.0,2020,SAN JOAQUIN
San Mateo,3000100.0,2020,SAN MATEO
Santa Clara,304571052.0,2020,SANTA CLARA
Santa Cruz,2000100.0,2020,SANTA CRUZ
Shasta,50761750.0,2020,SHASTA
Sierra,0.0,2020,SIERRA
Siskiyou,686650.0,2020,SISKIYOU
Solano,224590500.0,2020,SOLANO
Sonoma,1302549765.0,2020,SONOMA
Stanislaus,69175400.0,2020,STANISLAUS
Sutter,0.0,2020,SUTTER
Tehama,2500556.0,2020,TEHAMA
Trinity,66722100.0,2020,TRINITY
Tulare,278541759.0,2020,TULARE
Tuolumne,189002.0,2020,TUOLUMNE
Yolo,9520500.0,2020,YOLO
Yuba,2525800.0,2020,YUBA
Butte,2086251.0,2021,BUTTE
Mendocino,739052.0,2021,MENDOCINO
Santa Clara,45507.0,2021,SANTA CLARA
Siskiyou,408550.0,2021,SISKIYOU
Riverside,2598441.0,2021,RIVERSIDE
San Bernardino,2329300.0,2021,SAN BERNARDINO
San Diego,1508303.0,2021,SAN DIEGO
San Luis Obispo,9606.0,2021,SAN LUIS OBISPO
Tulare,98750.0,2021,TULARE
Alameda,11335.0,2021,ALAMEDA
Alpine,0.0,2021,ALPINE
Amador,386100.0,2021,AMADOR
Butte,86251.0,2021,BUTTE
Calaveras,347503.0,2021,CALAVERAS
Colusa,0.0,2021,COLUSA
Contra Costa,21322.0,2021,CONTRA COSTA
Del Norte,0.0,2021,DEL NORTE
El Dorado,397229208.0,2021,EL DORADO
Fresno,192405.0,2021,FRESNO
Glenn,0.0,2021,GLENN
Humboldt,254222.0,2021,HUMBOLDT
Imperial,0.0,2021,IMPERIAL
Inyo,103400.0,2021,INYO
Kings,0.0,2021,KINGS
Lake,1389704.0,2021,LAKE
Lassen,445601.0,2021,LASSEN
Madera,200650.0,2021,MADERA
Mariposa,18670.0,2021,MARIPOSA
Mendocino,739052.0,2021,MENDOCINO
Merced,16470.0,2021,MERCED
Modoc,50200.0,2021,MODOC
Mono,0.0,2021,MONO
Monterey,112020.0,2021,MONTEREY
Napa,10101.0,2021,NAPA
Nevada,720900.0,2021,NEVADA
Placer,61636121.0,2021,PLACER
Plumas,2003500.0,2021,PLUMAS
Riverside,2598441.0,2021,RIVERSIDE
Sacramento,3200.0,2021,SACRAMENTO
San Benito,368564.0,2021,SAN BENITO
San Bernardino,2225900.0,2021,SAN BERNARDINO
San Diego,1508303.0,2021,SAN DIEGO
San Francisco,0.0,2021,SAN FRANCISCO
San Joaquin,22099.0,2021,SAN JOAQUIN
San Luis Obispo,9606.0,2021,SAN LUIS OBISPO
San Mateo,3000.0,2021,SAN MATEO
